time_sec,occupancy_blocks,free_blocks,clean_blocks,dirty_blocks,rd_hits,rd_misses,rd_total,wr_hits,wr_misses,wr_total,cache_rd_blocks,cache_wr_blocks,core_rd_blocks,core_wr_blocks,host_rd_blocks,host_wr_blocks,cache_wr_delta,core_wr_delta,host_wr_delta,cache_wr_MB,core_wr_MB,host_wr_MB,nvme_host_MB,nvme_media_MB,nvme_host_delta_MB,nvme_media_delta_MB
2.00,8,166537944,8,0,0,4,4,0,0,0,2,9,9,0,11,0,9,0,0,0.04,0.00,0.00,0.00,0.00,0.00,0.00
4.00,8,166537944,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,2919942565.58,5412287715.98,2919942565.58,5412287715.98
6.00,8,166537944,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
8.00,8,166537944,8,0,0,4,4,0,0,0,2,9,9,0,11,0,0,0,0,0.04,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
10.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,253,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
12.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
14.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
16.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
18.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
20.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
22.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
24.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
26.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
28.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
30.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
32.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
34.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
36.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
38.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
40.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
42.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
44.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
46.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
48.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
50.00,261,166537691,261,0,7,46,53,0,0,0,10,262,262,0,272,0,0,0,0,1.02,0.00,0.00,2919942565.58,5412287715.98,0.00,0.00
