time_sec,host_write_MB,cache_write_MB,backend_write_MB,host_delta_MB,cache_delta_MB,backend_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks,l2p_write_MB,md_write_MB,l2p_delta_MB,md_delta_MB
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,1792343.25
4.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,5661601782.18,8639949564.71,0,0,0,0,0.00,1792343.25,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
10.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
12.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
14.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
16.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
20.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
22.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
24.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
26.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
28.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
30.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
32.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
34.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
36.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
38.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
42.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
44.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
46.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
48.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
50.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
52.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
54.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
56.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
58.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
60.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
62.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
64.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
66.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
68.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
70.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
72.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
74.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
76.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
78.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
80.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
82.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
84.00,0.00,0.00,0.00,0.00,0.00,0.00,5661601782.18,8639949564.71,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
